participant_id	spmcomcor.exclude	spmgsr.exclude	rabies.exclude	di1.exclude	di2.exclude	easymribrain.exclude	aidamri.exclude	liming.exclude	global.exclude
sub-301402	1	1	1	1	1	1	1	1	1
sub-301403	1	1	1	1	1	1	1	1	1
sub-301404	1	1	1	1	1	1	1	1	1
sub-301405	1	1	1	1	1	1	1	1	1
sub-301406	1	1	1	1	1	1	1	1	1
sub-301407	1	1	1	1	1	1	1	1	1
sub-301408	1	1	1	1	1	1	1	1	1
sub-301409	1	1	1	1	1	1	1	1	1
sub-301500	1	1	1	1	1	1	1	1	1
sub-301501	1	1	1	1	1	1	1	1	1
sub-301502	1	1	1	1	1	1	1	1	1
sub-301503	1	1	1	1	1	1	1	1	1
sub-301504	1	1	1	1	1	1	1	1	1
sub-301505	1	1	1	1	1	1	1	1	1
sub-301506	1	1	1	1	1	0	1	1	0
sub-301507	1	1	1	1	1	1	1	1	1
sub-301508	1	1	1	1	1	1	1	1	1
sub-301509	1	1	1	1	1	1	1	1	1
sub-301600	1	1	1	1	1	1	0	1	0
sub-301601	1	1	1	1	1	1	0	1	0
sub-301602	1	1	1	1	1	1	0	1	0
sub-301603	1	1	1	1	1	1	0	1	0
sub-301604	1	1	1	1	1	1	0	1	0
sub-301605	1	1	1	1	1	1	1	1	1
sub-301606	1	1	1	1	1	1	0	1	0
sub-301607	1	1	1	1	1	1	0	1	0
sub-301608	1	1	1	1	1	1	1	1	1
sub-301609	1	1	1	1	1	1	1	1	1
sub-301700	1	1	1	1	1	1	1	1	1
sub-301701	1	1	1	1	1	1	1	1	1
sub-301702	1	1	1	1	1	1	0	1	0
sub-301703	1	1	1	1	1	1	1	1	1
sub-301704	1	1	1	1	1	1	0	1	0
sub-301705	1	1	1	1	1	1	1	1	1
sub-301706	1	1	1	1	1	1	1	1	1
sub-301707	1	1	1	1	1	1	1	1	1
sub-301708	1	1	1	1	1	1	1	1	1
sub-301709	1	1	1	1	1	1	1	1	1
sub-301800	1	1	1	1	1	1	1	1	1
sub-301801	1	1	1	1	1	1	1	1	1
sub-301802	1	1	1	1	1	1	1	1	1
sub-301803	1	1	1	1	1	1	1	1	1
sub-301804	1	1	1	1	1	1	1	1	1
sub-301805	1	1	1	1	1	1	1	1	1
sub-301806	1	1	1	1	1	1	1	1	1
sub-301807	1	1	1	1	1	1	1	1	1
sub-301808	1	1	1	1	1	1	1	1	1
sub-301809	1	1	1	1	1	1	1	1	1
sub-301900	1	1	1	1	1	1	1	1	1
sub-301901	1	1	1	1	1	1	0	1	0
sub-301902	1	1	1	1	1	1	1	1	1
sub-301903	1	1	1	1	1	1	1	1	1
sub-301904	1	1	1	1	1	1	1	1	1
sub-301905	1	1	1	1	1	1	1	1	1
sub-301906	1	1	1	1	1	1	0	1	0
sub-301907	1	1	1	1	1	1	1	1	1
sub-301908	1	1	1	1	1	1	1	1	1
sub-301909	1	1	1	1	1	1	1	1	1
sub-302000	1	1	1	1	1	1	1	1	1
sub-302001	1	1	1	1	1	1	1	1	1
sub-302002	1	1	1	1	1	1	1	1	1
sub-302003	1	1	1	1	1	1	1	1	1
sub-302004	1	1	1	1	1	1	1	1	1
sub-302005	1	1	1	1	1	1	0	1	0
sub-302006	1	1	1	1	1	1	1	1	1
sub-302007	1	1	1	1	1	1	1	1	1
sub-302008	1	1	1	1	1	1	1	1	1
sub-302009	1	1	1	1	1	1	1	1	1
sub-302100	1	1	1	1	1	1	1	1	1
sub-302101	1	1	1	1	1	1	0	1	0
sub-302102	1	1	1	1	1	1	1	1	1
sub-302103	1	1	1	1	1	1	1	1	1
sub-302104	1	1	1	1	1	1	1	1	1
sub-302105	1	1	1	1	1	1	1	1	1
sub-302106	1	1	1	1	1	1	1	1	1
sub-302107	1	1	1	1	1	1	1	1	1
sub-302108	1	1	1	1	1	1	1	1	1
sub-302109	1	1	1	1	1	1	1	1	1
