participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-300606	spurious	0.55549	0.16737	specific	0.32421	0.00973	no	0.07263	0.02846	NA	NA	NA	NA	NA	NA	specific	0.79248	-0.05492
sub-300607	specific	0.1727	0.00413	spurious	0.45664	0.16488	specific	0.26777	0.07976	NA	NA	NA	NA	NA	NA	specific	0.76642	-0.09935
sub-300608	spurious	0.63134	0.52955	no	-0.01193	-0.00113	no	0.00949	-0.03981	NA	NA	NA	NA	NA	NA	spurious	0.41713	0.25138
sub-300609	spurious	0.75261	0.54105	spurious	0.62558	0.60422	spurious	0.30777	0.17369	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-300700	specific	0.75625	-0.07175	spurious	0.64079	0.11516	non-specific	0.06326	0.13299	specific	0.39673	0.02833	specific	0.66643	0.06745	spurious	-0.23541	-0.21341
sub-300701	specific	0.34359	0.02003	specific	0.13391	-0.03478	specific	0.13525	0.01939	specific	0.19005	-0.06553	specific	0.1903	-0.05105	specific	0.42661	-0.06191
sub-300702	spurious	0.39805	0.27713	specific	0.5108	-0.02129	no	0.06178	0.07056	specific	0.17232	0.09156	specific	0.16911	0.08869	specific	0.64862	-0.17682
sub-300703	specific	0.42777	-0.06125	specific	0.22012	-0.0184	specific	0.22707	-0.05341	specific	0.20645	0.03507	spurious	0.34318	0.15213	specific	0.68046	-0.39895
sub-300704	specific	0.20478	-0.0866	no	-0.01531	0.02347	no	0.04282	-0.01237	specific	0.13104	0.00185	specific	0.1348	0.01579	spurious	0.27031	0.16639
sub-300705	specific	0.25292	-0.00824	specific	0.17227	-0.0688	no	0.00028	-0.0119	no	0.07179	0.03338	no	0.0701	0.04138	specific	0.39184	0.07435
sub-300706	specific	0.11752	0.03231	specific	0.1334	0.04764	no	0.01164	0.08759	no	-0.03478	0.01434	no	-0.02854	0.02605	spurious	0.3298	0.21243
sub-300707	specific	0.21706	-0.10989	specific	0.2936	0.04438	specific	0.1326	0.02001	no	-0.00467	-0.03313	no	0.02641	-0.03517	spurious	0.5364	0.41179
sub-300708	specific	0.16644	0.00018	specific	0.11744	-0.00587	no	-0.09036	0.02236	no	0.0913	0.00759	no	0.08254	0.0023	specific	0.33403	0.05376
sub-300709	specific	0.33839	0.03523	specific	0.23065	0.05416	NA	NA	NA	no	-0.04103	-0.06212	no	-0.0382	-0.02114	spurious	0.29746	0.15452
sub-300800	spurious	0.56174	0.42336	spurious	0.6207	0.29954	NA	NA	NA	NA	NA	NA	NA	NA	NA	spurious	0.68207	0.16384
sub-300801	spurious	0.47164	0.30287	specific	0.3193	0.09	specific	0.20402	-0.00458	NA	NA	NA	NA	NA	NA	spurious	0.4533	0.22263
sub-300802	spurious	0.52951	0.3791	specific	0.10217	-0.00101	no	0.08054	-0.02191	NA	NA	NA	NA	NA	NA	specific	0.33186	0.06263
sub-300803	spurious	0.58933	0.29451	spurious	0.46357	0.22168	spurious	0.19817	0.11647	NA	NA	NA	NA	NA	NA	spurious	0.63031	0.52135
sub-300804	spurious	0.88149	0.76599	spurious	0.7948	0.69334	spurious	0.27623	0.17979	NA	NA	NA	NA	NA	NA	spurious	0.81218	0.85764
sub-300805	spurious	0.71118	0.39873	spurious	0.54018	0.77358	no	0.06614	0.0209	NA	NA	NA	NA	NA	NA	spurious	0.82316	0.7448
sub-300806	spurious	0.47745	0.45846	spurious	0.53658	0.39333	spurious	0.18766	0.21228	NA	NA	NA	NA	NA	NA	spurious	0.81936	0.72452
sub-300807	spurious	0.89283	0.80812	spurious	0.91827	0.91888	specific	0.10002	0.06046	NA	NA	NA	NA	NA	NA	spurious	0.93851	0.92248
sub-300808	spurious	0.46784	0.19898	specific	0.37153	0.08053	specific	0.17311	0.00667	NA	NA	NA	NA	NA	NA	spurious	0.59601	0.46933
sub-300809	spurious	0.53237	0.68329	spurious	0.94393	0.93087	spurious	0.49787	0.18485	NA	NA	NA	NA	NA	NA	spurious	0.98415	0.9521
sub-300900	spurious	0.50417	0.40197	spurious	0.28418	0.10271	specific	0.17314	-0.04258	specific	0.10098	0.05162	specific	0.24886	0.0611	spurious	0.5081	0.14358
sub-300901	spurious	0.57173	0.20411	specific	0.26927	0.01348	specific	0.36094	-0.01843	specific	0.20875	0.03566	specific	0.20458	0.03388	spurious	0.50267	0.11532
